version;project;1830-jaarlijkse-kosten-van-deze-keuze;1831-maximum-aantal-phd-equivalenten-per-jaar;1832-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1833-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1834-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1835-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1836-gemiddelde-succeskans-per-voorstel;1837-aantal-weken-besteed-per-ingediend-voorstel
1;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;2250;0;150;10;3
1;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;1800;0;150;25;3
1;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;563;0;150;10;3
1;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;3733;0;400;15;4
1;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;3360;0;400;25;4
1;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;188;0;150;40;1
1;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;500;0;150;30;2
1;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
1;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;2813;0;150;2;3
1;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
1;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
2;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;3000;0;150;10;4
2;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;2400;0;150;25;4
2;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;750;0;150;10;4
2;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;3733;0;400;15;4
2;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;4200;0;400;25;5
2;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;188;0;150;40;1
2;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;500;0;150;30;2
2;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
2;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;3750;0;150;2;4
2;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
2;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
3;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;4500;0;150;10;6
3;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;3600;0;150;25;6
