"pred","senior","thematic","ecr"
"versie",NA,-0.00802242168162144,NA
"age",NA,NA,-0.00937607538217516
"quit_ever",NA,NA,NA
"major_changes",-0.00539358848986167,-0.224417148984238,NA
"applied_grant",NA,NA,NA
"got_grant",0.0248219449154725,NA,NA
"grant_no",NA,NA,NA
"grant_pers_nl",NA,-0.120853310997926,NA
"grant_pers_foreign",NA,-0.091836286221321,NA
"grant_consortium",NA,NA,NA
"grant_faculty",NA,NA,NA
"grant_university",NA,NA,NA
"grant_foundation",NA,NA,NA
"grant_private",NA,NA,NA
"nogrant_want",NA,NA,NA
"nogrant_necessary",NA,NA,NA
"nogrant_early",NA,NA,NA
"nogrant_education",NA,NA,NA
"nogrant_time",NA,NA,NA
"nogrant_waste",NA,NA,NA
"body_nwo",NA,NA,NA
"body_university",NA,NA,NA
"body_foreign",NA,NA,NA
"body_award",NA,NA,NA
"body_none",NA,-0.107915031043546,NA
"rol_supervisor",NA,NA,NA
"rol_head",NA,NA,NA
"rol_dean",NA,NA,NA
"rol_colleagues",NA,NA,NA
"rol_nwo",0.0367434556960721,NA,NA
"rol_ocw",NA,NA,NA
"rol_mentor",NA,NA,NA
"carreer_success",0.0472744565792846,NA,NA
"need_no",NA,NA,NA
"need_security",NA,NA,NA
"need_team",NA,NA,NA
"need_freedom",NA,NA,NA
"need_equipment",NA,NA,NA
"award_fair",0.162394907413951,0.0371728140214666,NA
"award_lottery",NA,-0.00442315578266804,NA
"award_time",NA,-0.0443127659405471,NA
"award_bandwagon",NA,NA,NA
"who_researcher",NA,-0.112458288423801,NA
"who_manager",NA,NA,NA
"who_university",-0.052247542919709,NA,NA
"who_committee",0.0510441125724017,0.0508912957022549,0.0373589447125305
"who_government",NA,0.00411255451189517,NA
"who_society",-0.115292702512094,0.168871145304979,NA
"co_private",NA,-0.124916241831908,NA
"co_connections",NA,NA,NA
"co_irrelevant",0.0139356338202069,NA,NA
"time_research",NA,NA,NA
"time_education",NA,NA,NA
"time_phds",0.0135913983403155,NA,-0.0667208162647165
"time_management_low",NA,NA,-0.0628616605031902
"time_management_hi",NA,NA,NA
"time_service",NA,NA,NA
"time_admin",0.000600216690411089,NA,NA
"time_involvement",-0.00337778580238874,NA,NA
"time_patients",NA,0.0077028100447254,NA
"review_info",NA,NA,NA
"review_confidence",NA,-0.0365825677171939,NA
"review_informative",NA,NA,NA
"review_more",NA,NA,NA
"review_government",NA,NA,NA
"pos5",NA,NA,-0.136737667106
"language.cen",NA,NA,NA
"language.cnl",NA,NA,NA
"sex.cMan",NA,-0.0587738287973767,NA
"sex.cVrouw",NA,NA,NA
"discipline.cBeta.and.medicine",0.475829646649105,NA,-0.0811976113159553
"discipline.cEconomy..business..law",NA,NA,NA
"discipline.cHumanities.and.social.sciences",NA,NA,0.192533840986168
